team_name,player_role,map_played,match_type,kills,assists,deaths,accuracy_percent,reaction_time_ms,fatigue_index,performance_score,win_probability,mvp_award
Phantom Squad,Entry Fragger,Frozen Base,Group Stage,14,8,6,44.29,220.9,0.22,49.94,1.0,No
Phantom Squad,Entry Fragger,Frozen Base,Group Stage,19,9,8,35.97,229.78,0.42,52.78,0.9,No
Team Alpha,Flex,Desert Storm,Playoff,13,10,14,45.91,224.51,0.43,40.66,1.0,No
Phantom Squad,Support,Desert Storm,Qualifier,12,7,11,50.38,280.17,0.83,36.89,0.94,No
Team Alpha,Flex,Dust Arena,Group Stage,11,11,5,40.11,177.8,0.29,45.16,1.0,No
Phantom Squad,Flex,Desert Storm,Final,12,7,11,37.93,209.43,0.08,38.17,0.91,No
Red Vortex,Sniper,Skyline,Final,18,9,15,44.4,238.62,0.19,50.3,1.0,No
Team Alpha,Sniper,Neon City,Qualifier,17,9,10,45.96,206.04,0.83,47.68,1.0,No
CyberX,IGL,Neon City,Playoff,12,5,10,53.25,175.43,0.89,36.73,0.73,No
CyberX,Entry Fragger,Neon City,Playoff,13,10,8,49.68,189.88,0.04,52.44,0.95,No
Titan Esports,Entry Fragger,Skyline,Final,14,10,16,47.31,293.66,0.23,43.36,0.88,No
Team Nova,IGL,Desert Storm,Playoff,11,10,13,40.21,226.09,0.59,33.21,0.68,No
Red Vortex,IGL,Skyline,Final,16,10,9,44.73,273.84,0.08,54.56,1.0,No
Team Alpha,Flex,Skyline,Final,15,17,6,36.51,199.31,0.82,51.05,1.0,No
Red Vortex,Support,Skyline,Final,19,5,11,42.54,226.57,0.76,45.67,1.0,No
Titan Esports,IGL,Dust Arena,Group Stage,13,7,11,45.38,205.6,0.87,35.99,0.87,No
Titan Esports,Support,Desert Storm,Playoff,18,3,10,40.56,276.43,0.27,46.58,0.84,No
Red Vortex,IGL,Frozen Base,Playoff,11,10,15,43.58,182.45,0.86,30.19,0.95,No
Team Nova,Flex,Dust Arena,Group Stage,11,10,5,39.59,274.03,0.2,44.8,0.87,No
Team Alpha,Flex,Desert Storm,Qualifier,16,4,9,44.89,172.48,0.69,42.55,1.0,No
Team Alpha,Sniper,Skyline,Semi-Final,9,6,8,43.02,199.54,0.03,37.21,0.85,No
Red Vortex,Support,Desert Storm,Final,10,7,16,39.14,274.36,0.87,21.87,0.75,No
Team Alpha,Flex,Neon City,Final,13,8,4,36.75,204.12,0.79,40.48,0.9,No
Team Alpha,Sniper,Frozen Base,Final,16,7,7,62.14,231.98,0.74,55.67,1.0,No
Red Vortex,IGL,Dust Arena,Qualifier,14,11,7,56.01,243.31,0.13,58.7,1.0,No
Red Vortex,Support,Skyline,Group Stage,11,10,7,47.09,253.23,0.13,47.25,0.9,No
Team Alpha,Entry Fragger,Frozen Base,Group Stage,26,6,7,38.29,235.62,0.17,68.44,1.0,Yes
Team Nova,Entry Fragger,Skyline,Final,16,4,16,61.61,216.07,0.93,41.5,0.81,No
Red Vortex,Flex,Skyline,Final,13,4,17,43.93,252.58,0.52,29.77,1.0,No
CyberX,Support,Frozen Base,Playoff,10,9,10,43.88,226.03,0.03,40.64,1.0,No
CyberX,Sniper,Frozen Base,Qualifier,22,8,11,43.05,248.92,0.33,59.23,1.0,No
Team Alpha,IGL,Neon City,Group Stage,14,3,9,49.56,193.45,0.45,42.28,1.0,No
Team Nova,Flex,Frozen Base,Final,12,8,10,35.75,174.02,0.4,35.88,0.96,No
Team Nova,Support,Dust Arena,Playoff,16,5,8,64.52,169.21,0.28,58.46,1.0,No
Team Alpha,IGL,Frozen Base,Group Stage,13,7,12,59.77,226.67,0.11,49.79,0.84,No
Phantom Squad,Entry Fragger,Dust Arena,Final,25,9,11,48.52,182.68,0.78,64.46,1.0,Yes
Team Nova,Flex,Neon City,Semi-Final,12,9,5,54.8,268.7,0.55,49.9,0.94,No
Team Alpha,Entry Fragger,Frozen Base,Semi-Final,16,9,12,34.04,208.63,0.09,45.12,0.93,No
CyberX,IGL,Neon City,Group Stage,21,5,13,53.25,223.26,0.65,54.12,0.84,No
Titan Esports,IGL,Skyline,Playoff,13,10,10,47.99,267.5,0.35,46.5,0.93,No
Team Alpha,Support,Neon City,Semi-Final,17,10,13,49.03,237.47,0.71,48.41,0.91,No
Phantom Squad,Support,Skyline,Group Stage,9,12,13,34.35,237.05,0.3,31.17,0.87,No
Red Vortex,Entry Fragger,Dust Arena,Group Stage,8,12,10,42.03,190.23,0.07,38.31,0.89,No
Team Alpha,Sniper,Frozen Base,Qualifier,13,7,13,49.24,224.46,0.98,34.82,0.81,No
CyberX,Sniper,Frozen Base,Final,12,4,13,52.6,175.45,0.53,36.0,0.76,No
Team Alpha,Entry Fragger,Desert Storm,Final,20,6,9,43.33,203.61,0.54,53.27,1.0,No
Team Alpha,Sniper,Frozen Base,Playoff,11,9,10,54.35,194.11,0.48,43.38,0.8,No
Team Nova,Flex,Dust Arena,Semi-Final,14,10,11,32.09,228.3,0.61,36.95,0.95,No
Team Nova,Entry Fragger,Desert Storm,Final,8,5,12,34.22,190.85,0.35,22.61,0.79,No
Red Vortex,Support,Desert Storm,Semi-Final,11,4,8,54.26,177.35,0.21,43.03,1.0,No
Red Vortex,Entry Fragger,Frozen Base,Qualifier,10,13,7,31.1,161.56,0.61,35.45,0.83,No
Team Alpha,Sniper,Neon City,Group Stage,12,14,6,42.79,244.38,0.21,51.29,1.0,No
Titan Esports,Support,Dust Arena,Semi-Final,15,12,7,55.3,207.32,0.2,60.65,1.0,Yes
Team Nova,Sniper,Neon City,Qualifier,16,5,12,48.16,216.37,0.33,45.78,1.0,No
Titan Esports,Flex,Skyline,Playoff,10,10,11,40.59,296.75,0.64,32.9,0.84,No
Team Alpha,IGL,Skyline,Qualifier,16,7,8,39.5,248.43,0.52,45.55,1.0,No
Phantom Squad,Sniper,Skyline,Group Stage,14,9,11,43.19,191.22,0.84,39.2,1.0,No
CyberX,Entry Fragger,Frozen Base,Qualifier,16,3,14,29.5,163.12,0.94,26.35,0.78,No
Titan Esports,Entry Fragger,Skyline,Semi-Final,12,7,12,58.29,206.29,0.77,40.44,0.94,No
Titan Esports,Support,Skyline,Semi-Final,10,5,7,36.22,210.89,0.78,28.31,0.94,No
Team Nova,Sniper,Frozen Base,Semi-Final,8,3,10,50.89,211.56,0.02,34.24,0.87,No
Team Nova,Entry Fragger,Skyline,Final,7,11,6,45.7,238.99,0.56,36.25,0.82,No
Red Vortex,Sniper,Skyline,Semi-Final,15,7,10,49.95,281.72,0.06,51.38,1.0,No
Team Alpha,Flex,Frozen Base,Semi-Final,14,7,14,45.46,229.52,0.77,36.03,0.86,No
Titan Esports,Sniper,Desert Storm,Semi-Final,15,10,13,54.51,236.1,0.4,50.25,1.0,No
Team Nova,IGL,Skyline,Final,10,8,6,51.82,197.93,0.88,39.11,0.91,No
Phantom Squad,Entry Fragger,Frozen Base,Final,19,9,11,49.64,229.77,0.08,60.02,1.0,Yes
Phantom Squad,Support,Desert Storm,Playoff,15,10,5,49.77,208.25,0.45,55.39,0.96,No
Titan Esports,Entry Fragger,Dust Arena,Semi-Final,18,10,8,46.01,278.17,0.31,57.9,1.0,No
Team Nova,Support,Neon City,Final,18,10,21,34.47,203.94,0.74,34.84,0.84,No
Red Vortex,IGL,Desert Storm,Playoff,22,10,14,47.94,275.15,0.1,62.97,0.94,Yes
CyberX,Entry Fragger,Desert Storm,Semi-Final,16,9,7,42.63,222.49,1.0,45.31,0.91,No
Team Nova,IGL,Neon City,Group Stage,20,5,14,23.37,240.34,0.32,39.48,1.0,No
Red Vortex,Sniper,Dust Arena,Playoff,16,9,11,42.18,288.73,0.07,50.39,1.0,No
Team Nova,Flex,Dust Arena,Group Stage,12,5,10,32.96,242.8,0.21,33.38,0.81,No
CyberX,Support,Dust Arena,Group Stage,5,9,8,45.05,219.44,0.7,26.52,0.87,No
Red Vortex,Flex,Desert Storm,Qualifier,12,9,11,57.9,246.91,0.11,49.85,0.92,No
Phantom Squad,Support,Neon City,Group Stage,13,7,9,27.33,226.2,0.87,28.96,0.87,No
Titan Esports,Sniper,Skyline,Semi-Final,18,4,9,66.42,205.43,0.04,63.81,1.0,Yes
Team Nova,IGL,Frozen Base,Qualifier,13,14,11,36.78,267.57,0.69,40.49,0.98,No
Team Alpha,Entry Fragger,Desert Storm,Final,13,5,11,40.5,213.72,0.41,36.15,0.97,No
CyberX,Flex,Skyline,Qualifier,16,6,9,35.53,217.35,0.16,45.16,0.91,No
Team Nova,Support,Neon City,Final,14,12,10,58.86,286.94,0.76,51.83,1.0,No
Phantom Squad,Entry Fragger,Desert Storm,Playoff,13,6,11,54.82,282.22,0.49,43.51,0.84,No
CyberX,Entry Fragger,Desert Storm,Playoff,20,6,15,53.69,222.94,0.13,56.55,1.0,No
Red Vortex,Entry Fragger,Frozen Base,Playoff,19,10,13,47.24,155.93,0.58,52.82,1.0,No
Titan Esports,Flex,Skyline,Playoff,14,9,14,63.67,225.77,0.93,45.53,0.95,No
Phantom Squad,Entry Fragger,Dust Arena,Qualifier,17,8,13,41.89,235.45,0.14,48.55,1.0,No
Team Alpha,Entry Fragger,Frozen Base,Group Stage,18,8,4,45.85,215.96,0.95,53.42,0.84,No
Titan Esports,IGL,Desert Storm,Qualifier,8,5,7,46.71,244.88,0.32,34.16,0.82,No
Phantom Squad,Support,Frozen Base,Qualifier,15,11,12,51.75,236.78,0.8,46.88,1.0,No
CyberX,Entry Fragger,Skyline,Playoff,10,5,12,67.08,220.01,0.05,46.04,0.96,No
Team Alpha,Flex,Desert Storm,Playoff,12,2,7,39.74,210.89,0.36,35.27,0.93,No
Titan Esports,Support,Neon City,Playoff,13,11,12,41.09,226.1,0.64,39.15,0.86,No
Team Alpha,Support,Skyline,Qualifier,6,7,13,47.61,229.01,0.21,27.7,0.74,No
Team Alpha,Flex,Neon City,Qualifier,20,10,15,61.83,203.68,0.11,64.81,1.0,Yes
Team Nova,Flex,Skyline,Group Stage,15,4,6,24.5,214.27,0.53,34.95,0.84,No
Team Nova,Support,Frozen Base,Final,15,6,6,45.12,223.06,0.35,49.06,1.0,No
Titan Esports,Entry Fragger,Neon City,Playoff,13,10,4,44.17,170.7,0.75,46.59,0.9,No
Team Nova,Sniper,Frozen Base,Semi-Final,8,6,13,44.67,267.42,0.26,28.73,0.69,No
Red Vortex,Flex,Desert Storm,Group Stage,13,6,11,32.14,225.54,0.5,32.07,0.77,No
Team Alpha,Sniper,Skyline,Playoff,12,6,14,46.8,172.06,0.44,35.0,0.9,No
CyberX,Entry Fragger,Dust Arena,Qualifier,16,14,12,56.87,230.67,0.5,57.44,1.0,No
Team Alpha,Support,Desert Storm,Final,12,6,10,43.34,209.25,0.4,37.67,0.81,No
CyberX,IGL,Neon City,Group Stage,13,11,15,32.79,220.98,0.04,37.99,0.84,No
CyberX,Entry Fragger,Dust Arena,Final,24,13,11,50.49,246.61,0.21,73.15,1.0,Yes
Team Alpha,IGL,Skyline,Playoff,8,12,9,47.78,205.38,0.0,42.89,1.0,No
Team Nova,Entry Fragger,Desert Storm,Playoff,11,2,7,24.53,239.99,0.42,25.07,0.8,No
Phantom Squad,Sniper,Dust Arena,Playoff,13,11,10,48.84,202.92,0.58,45.62,1.0,No
Red Vortex,IGL,Dust Arena,Qualifier,12,14,13,32.98,181.03,0.98,31.69,0.69,No
Team Nova,IGL,Frozen Base,Group Stage,18,7,14,32.86,209.29,0.7,38.43,0.9,No
Red Vortex,IGL,Neon City,Final,26,9,8,55.56,231.3,0.8,72.78,1.0,Yes
Titan Esports,Support,Frozen Base,Group Stage,12,5,10,36.77,179.42,0.62,31.19,0.93,No
Team Alpha,Flex,Skyline,Qualifier,14,8,12,38.05,209.21,0.75,35.52,0.72,No
Team Alpha,Support,Frozen Base,Qualifier,9,7,9,39.86,271.05,0.35,32.43,0.67,No
Red Vortex,Sniper,Dust Arena,Final,11,6,17,39.8,225.92,0.62,24.7,0.67,No
Titan Esports,Flex,Dust Arena,Final,17,6,8,43.28,228.3,0.59,47.74,1.0,No
Red Vortex,Sniper,Skyline,Group Stage,14,9,5,54.36,216.06,0.26,56.58,1.0,No
Team Nova,Support,Desert Storm,Semi-Final,14,6,7,38.73,199.28,0.27,43.66,1.0,No
Titan Esports,Entry Fragger,Neon City,Qualifier,16,12,9,42.59,252.19,0.27,53.59,1.0,No
Phantom Squad,Flex,Frozen Base,Final,13,10,13,41.9,218.64,0.3,40.95,0.84,No
CyberX,Entry Fragger,Dust Arena,Group Stage,15,6,4,45.03,243.71,0.81,46.41,1.0,No
Team Alpha,Support,Frozen Base,Playoff,17,9,8,50.66,220.27,0.88,51.53,0.99,No
Phantom Squad,IGL,Skyline,Semi-Final,16,10,12,38.19,223.36,0.16,47.49,1.0,No
Team Alpha,IGL,Skyline,Group Stage,8,5,10,33.98,203.06,0.22,25.79,0.77,No
Titan Esports,Sniper,Frozen Base,Group Stage,16,10,11,48.56,193.14,0.69,48.38,0.94,No
Team Nova,Flex,Dust Arena,Semi-Final,11,6,10,56.71,249.91,0.25,43.86,1.0,No
Phantom Squad,Flex,Frozen Base,Group Stage,15,10,9,46.06,201.8,0.38,50.23,1.0,No
Team Alpha,Flex,Neon City,Group Stage,19,7,10,55.32,249.04,0.01,62.56,1.0,Yes
Titan Esports,IGL,Dust Arena,Qualifier,15,11,11,35.9,206.71,0.89,39.05,0.84,No
Team Nova,Flex,Frozen Base,Semi-Final,18,9,7,51.81,215.3,0.51,58.8,1.0,No
CyberX,Sniper,Dust Arena,Playoff,19,9,7,57.15,245.45,0.81,60.48,0.98,Yes
CyberX,Sniper,Neon City,Final,18,5,7,42.34,234.75,0.56,49.57,1.0,No
Red Vortex,Sniper,Skyline,Playoff,13,9,12,42.89,189.5,0.02,44.24,0.92,No
Red Vortex,Entry Fragger,Dust Arena,Final,13,5,11,53.57,280.6,0.62,40.58,0.93,No
Phantom Squad,Entry Fragger,Frozen Base,Final,18,14,12,53.36,236.75,0.17,62.98,1.0,Yes
Titan Esports,Sniper,Neon City,Semi-Final,15,9,14,57.43,245.62,0.84,45.32,0.86,No
Titan Esports,Sniper,Neon City,Group Stage,14,7,9,69.5,247.95,0.88,51.95,1.0,No
CyberX,Flex,Desert Storm,Playoff,17,11,14,40.87,214.11,0.98,41.64,0.95,No
Team Alpha,Sniper,Frozen Base,Group Stage,23,5,5,47.47,168.93,0.8,61.73,1.0,Yes
Phantom Squad,Sniper,Desert Storm,Playoff,13,5,7,41.7,192.2,0.86,36.25,0.67,No
Team Nova,IGL,Dust Arena,Group Stage,16,7,10,43.8,184.42,0.73,43.6,0.7,No
CyberX,Support,Frozen Base,Final,16,14,14,40.79,161.07,0.76,44.79,0.92,No
Phantom Squad,Flex,Neon City,Semi-Final,24,9,7,42.6,201.76,0.83,63.0,1.0,Yes
Team Alpha,Sniper,Frozen Base,Playoff,10,8,7,49.28,256.87,0.75,38.14,0.87,No
Red Vortex,IGL,Neon City,Qualifier,13,5,15,35.53,267.73,0.15,32.27,0.8,No
Titan Esports,Support,Skyline,Final,15,7,8,51.15,226.46,0.51,49.48,0.93,No
Red Vortex,Entry Fragger,Neon City,Final,14,4,12,45.01,174.48,0.17,40.8,0.98,No
Red Vortex,Support,Dust Arena,Playoff,14,9,10,39.38,183.86,0.03,46.39,0.97,No
Phantom Squad,Entry Fragger,Desert Storm,Playoff,22,10,12,47.02,187.35,0.08,64.71,1.0,Yes
CyberX,Flex,Neon City,Semi-Final,14,7,6,45.68,130.27,0.25,49.34,1.0,No
Team Alpha,Entry Fragger,Dust Arena,Qualifier,18,5,7,42.02,168.78,0.88,46.21,0.81,No
Titan Esports,Flex,Neon City,Playoff,13,6,12,44.5,164.48,0.3,39.25,0.76,No
Phantom Squad,IGL,Neon City,Semi-Final,10,12,5,60.9,189.16,0.98,47.65,0.97,No
Team Nova,Entry Fragger,Skyline,Semi-Final,11,6,11,44.47,233.52,0.35,35.73,0.82,No
Team Alpha,Entry Fragger,Skyline,Final,11,10,5,60.1,257.01,0.22,54.85,1.0,No
Titan Esports,Entry Fragger,Dust Arena,Playoff,14,9,10,48.63,190.53,0.97,41.61,1.0,No
Red Vortex,Entry Fragger,Frozen Base,Group Stage,8,7,11,48.99,206.04,0.35,33.0,0.8,No
CyberX,Entry Fragger,Skyline,Playoff,14,6,9,46.22,250.54,0.23,45.81,1.0,No
Phantom Squad,Support,Dust Arena,Playoff,24,16,9,45.15,239.64,0.48,72.78,1.0,Yes
CyberX,IGL,Skyline,Semi-Final,15,4,9,55.46,184.64,0.81,44.63,0.93,No
Red Vortex,Support,Frozen Base,Group Stage,19,7,11,49.64,233.52,0.42,54.62,0.86,No
Titan Esports,Sniper,Frozen Base,Group Stage,10,6,12,41.13,201.63,0.02,34.36,0.81,No
Phantom Squad,Support,Skyline,Semi-Final,14,3,11,40.94,199.7,0.04,40.07,1.0,No
Titan Esports,Entry Fragger,Skyline,Semi-Final,16,8,9,40.27,239.65,0.23,48.84,0.98,No
Team Alpha,Entry Fragger,Dust Arena,Playoff,13,4,9,37.83,240.19,0.16,38.31,0.65,No
Team Alpha,Entry Fragger,Dust Arena,Group Stage,16,7,12,34.46,243.28,0.89,35.33,0.82,No
Red Vortex,Flex,Desert Storm,Qualifier,12,10,12,49.88,207.71,0.47,42.24,0.99,No
Red Vortex,Entry Fragger,Skyline,Final,16,10,13,37.38,199.69,0.77,39.99,0.96,No
Red Vortex,Sniper,Dust Arena,Playoff,9,13,7,41.83,195.75,0.06,44.31,1.0,No
Titan Esports,Flex,Desert Storm,Playoff,10,8,5,45.61,211.82,0.43,41.51,0.79,No
Phantom Squad,Sniper,Neon City,Group Stage,12,7,11,46.52,214.82,0.14,41.86,1.0,No
Phantom Squad,Entry Fragger,Neon City,Semi-Final,18,8,8,54.49,263.09,0.59,57.35,1.0,No
Phantom Squad,Flex,Neon City,Final,16,6,12,35.04,192.51,0.25,41.02,1.0,No
Team Alpha,IGL,Desert Storm,Qualifier,16,6,8,56.35,145.37,0.87,49.47,0.94,No
CyberX,Flex,Skyline,Final,13,9,14,53.12,242.35,0.19,45.66,1.0,No
Red Vortex,IGL,Frozen Base,Qualifier,14,7,5,46.57,192.88,0.54,47.88,1.0,No
Titan Esports,Support,Frozen Base,Semi-Final,19,12,12,34.84,241.18,0.02,55.22,1.0,No
Team Alpha,Flex,Skyline,Qualifier,13,10,9,45.63,156.14,0.16,48.21,0.78,No
CyberX,Sniper,Frozen Base,Final,14,11,10,39.51,166.1,0.34,45.35,1.0,No
Red Vortex,Sniper,Dust Arena,Final,10,7,8,38.47,222.34,0.57,32.53,0.8,No
Team Alpha,Support,Dust Arena,Playoff,12,8,10,51.43,234.74,0.28,44.92,1.0,No
CyberX,IGL,Neon City,Semi-Final,23,9,10,40.28,245.33,0.13,63.84,1.0,Yes
Titan Esports,Support,Frozen Base,Playoff,14,9,13,38.34,233.33,0.78,35.37,0.96,No
Titan Esports,IGL,Neon City,Final,16,7,11,32.64,223.97,0.67,37.62,0.87,No
CyberX,Flex,Dust Arena,Playoff,10,6,14,38.56,198.17,0.07,30.58,0.81,No
Titan Esports,Sniper,Desert Storm,Qualifier,16,5,7,41.71,223.96,0.95,41.36,0.86,No
Red Vortex,Support,Frozen Base,Final,8,8,9,51.57,254.61,0.41,36.68,1.0,No
Phantom Squad,Entry Fragger,Neon City,Final,15,3,17,37.67,254.03,0.39,30.94,0.78,No
Titan Esports,Flex,Skyline,Final,11,9,7,43.29,229.69,0.18,43.84,0.93,No
Titan Esports,Support,Desert Storm,Group Stage,19,9,10,46.26,220.19,0.14,58.73,0.99,No
CyberX,Entry Fragger,Dust Arena,Playoff,10,12,10,58.03,178.09,0.74,43.62,0.97,No
Team Nova,IGL,Frozen Base,Qualifier,18,9,11,30.28,219.03,0.73,41.84,0.92,No
Titan Esports,Support,Frozen Base,Semi-Final,23,8,14,42.12,226.73,0.81,52.96,1.0,No
Red Vortex,Support,Skyline,Qualifier,14,7,11,39.2,226.0,0.09,42.7,0.93,No
Titan Esports,Sniper,Frozen Base,Qualifier,11,7,10,34.65,257.78,0.93,27.03,0.88,No
Team Nova,Flex,Desert Storm,Semi-Final,6,9,8,49.48,225.63,0.3,34.74,0.92,No
Red Vortex,Support,Frozen Base,Playoff,14,10,8,50.88,223.28,0.37,51.74,1.0,No
CyberX,Flex,Desert Storm,Semi-Final,20,6,8,41.98,241.52,0.86,50.39,1.0,No
Red Vortex,Entry Fragger,Frozen Base,Semi-Final,10,10,17,49.41,256.09,0.81,29.6,0.87,No
Team Alpha,Support,Neon City,Group Stage,23,8,12,42.19,251.5,0.17,61.39,1.0,Yes
Team Nova,Sniper,Dust Arena,Playoff,11,13,9,54.83,251.96,0.27,50.71,1.0,No
CyberX,Flex,Dust Arena,Final,12,3,9,23.22,248.28,0.88,20.81,1.0,No
Team Alpha,Entry Fragger,Neon City,Final,12,10,13,63.46,246.9,1.0,42.73,0.76,No
Titan Esports,Support,Neon City,Playoff,14,5,12,47.57,225.04,0.43,40.48,0.91,No
Titan Esports,Support,Desert Storm,Qualifier,13,6,7,36.67,257.59,0.34,39.94,0.85,No
Titan Esports,Entry Fragger,Neon City,Final,14,10,14,37.2,259.11,0.01,42.5,0.78,No
CyberX,Flex,Frozen Base,Group Stage,19,2,7,40.86,166.87,0.42,49.23,1.0,No
Team Alpha,Flex,Neon City,Playoff,13,6,8,48.71,203.48,0.12,47.16,0.88,No
Phantom Squad,Flex,Desert Storm,Qualifier,11,7,10,47.56,200.82,0.29,39.88,0.81,No
Red Vortex,Flex,Neon City,Playoff,13,9,10,34.88,166.21,0.04,42.04,0.91,No
CyberX,Sniper,Desert Storm,Qualifier,6,9,7,48.3,228.37,0.81,30.05,0.89,No
Phantom Squad,Sniper,Neon City,Playoff,8,7,7,52.83,178.85,0.6,36.41,0.77,No
Team Nova,IGL,Desert Storm,Playoff,19,7,12,56.24,224.28,0.24,58.72,1.0,No
Red Vortex,Support,Dust Arena,Qualifier,14,4,10,48.78,213.6,0.16,44.79,0.98,No
Red Vortex,Entry Fragger,Desert Storm,Group Stage,20,10,14,58.23,212.79,0.23,62.81,0.96,Yes
Phantom Squad,IGL,Neon City,Qualifier,14,16,14,44.0,202.93,0.67,45.3,1.0,No
Team Nova,Flex,Neon City,Group Stage,13,9,17,42.42,248.49,0.53,33.91,0.83,No
Red Vortex,IGL,Neon City,Qualifier,17,3,7,46.45,256.45,0.15,51.73,1.0,No
Titan Esports,Sniper,Desert Storm,Semi-Final,13,7,14,57.22,236.13,0.18,45.81,1.0,No
Phantom Squad,Entry Fragger,Frozen Base,Final,14,6,12,45.39,243.07,0.26,42.09,0.88,No
Team Alpha,Sniper,Skyline,Final,15,12,10,39.36,227.29,0.2,49.68,0.79,No
Red Vortex,Support,Desert Storm,Group Stage,19,9,8,44.76,203.62,0.34,57.98,1.0,No
Red Vortex,Entry Fragger,Frozen Base,Playoff,15,7,14,47.89,220.68,0.77,39.24,0.75,No
